countryid,country,year,ama_exchange_rate,imf_based_exchange_rate,population,currency,per_capita_gni,agriculture_hunting_forestry_fishing_,changes_in_inventories,construction_,exports_of_goods_and_services,final_consumption_expenditure,general_government_final_consumption_expenditure,gross_capital_formation,gross_fixed_capital_formation_,household_consumption_expenditure_,imports_of_goods_and_services,manufacturing_,mining_manufacturing_utilities_,other_activities_,total_value_added,transport_storage_and_communication_,wholesale_retail_trade_restaurants_and_hotels_,gross_national_income,gross_domestic_product_,income_group,development_status,export_dependency,import_dependency,trade_openness,investment_ratio,government_share,household_share,agriculture_share,services_share,gdp_per_person,investment_per_person,exports_per_person,imports_per_person,gdp_group,population_group,gni_group,trade_group,investment_group,export_group,import_group,government_group,consumption_group,agriculture_group,services_group
51, Armenia ,2021,503.769675,503.769675,2790974.0, Armenian Dram ,5032.0,1571535246.0,321709122.0,902838385.0,4854383306.0,12145257057.0,2189148245.0,2853008372.0,2531299249.0,9956108812.0,5991229822.0,1580781535.0,2790038325.0,4605778226.0,12582651190.0,913853737.0,1798607270.0,14043616746.0,13861418912.0,Upper Middle Income,Developing,0.3502082533410415,0.43222341522434754,0.782431668565389,0.20582368876609852,0.1579310356968454,0.7182604374925048,0.11337477468771272,0.3322732149746027,4966.51667554051,1022.2267824780882,1739.3151301301982,2146.644799270792,Medium,Medium,Medium,Medium,Medium,High,High,Medium,High,High,High
478, Mauritania ,2021,36.06333333,36.06333333,4614974.0, Ouguiya ,2144.0,1857172661.0,844012834.0,388296978.0,3943762109.0,6430289693.0,1462988247.0,5713954295.0,4869941461.0,4967301445.0,6091765678.0,528296257.0,2900193770.0,2343097382.0,9183045245.0,576151915.0,1118132539.0,9893665390.0,9996240419.0,Lower Middle Income,Developing,0.3945245355948056,0.6094056788011313,1.003930214395937,0.5716103310339959,0.14635384761447684,0.4969169644578153,0.1857871142704856,0.23439786197483212,2166.044796568735,1238.1335832011189,854.5578174438252,1319.999999566628,Medium,Medium,Low,High,Very High,High,Very High,Medium,Low,Very High,Low
438, Liechtenstein ,2021,0.913845833,0.913845833,39039.0, Swiss Franc ,198294.0,9165894.0,-135102596.0,268417183.0,4621771742.0,4074601937.0,769908790.0,1556314008.0,1691416603.0,3304693147.0,3644938077.0,2494824344.0,2580188164.0,2798899848.0,6360159832.0,223940541.0,479548203.0,7741217674.0,6607749611.0,High Income,Developed,0.6994471664462105,0.5516156470172883,1.251062813463499,0.23552859893619235,0.11651603576478195,0.500123845718766,0.0013871430577123301,0.4235783758120371,169260.21698814008,39865.621762852534,118388.57916442532,93366.58410819949,Medium,Low,Very High,Very High,High,Very High,High,Low,Low,Low,High
470, Malta ,2021,0.845494139,0.845494139,526748.0, Euro ,31132.0,158014105.0,132230367.0,754943140.0,30186726112.0,11021483853.0,3558274223.0,3787134473.0,3654904106.0,7463209631.0,27274701195.0,1185460613.0,1298057490.0,9771445620.0,15979767781.0,2178489377.0,1818818049.0,16398973526.0,17720643244.0,High Income,Developed,1.7034780112861234,1.5391484845921093,3.2426264958782327,0.2137131491703767,0.20079825399141701,0.4211590701441921,0.008916950859190831,0.5514159664214501,33641.59568522329,7189.651357005627,57307.71851435601,51779.41101817188,Medium,Low,Very High,Very High,Medium,Very High,Very High,High,Low,Low,Very High
440, Lithuania ,2021,0.845494139,0.845494139,2786651.0, Euro ,22926.0,2201850864.0,-1221907938.0,4217976017.0,53483244791.0,50371554386.0,11644856596.0,13070819171.0,14292727110.0,38726697790.0,50480361763.0,10713242805.0,12570078702.0,20653826824.0,59344226805.0,8980478916.0,10720015485.0,63887018863.0,66445256585.0,High Income,Developed,0.8049219393499013,0.7597286000156094,1.5646505393655106,0.19671560985364203,0.1752548969557117,0.5828361538563543,0.033137818667059935,0.3108397481704149,23844.12564939061,4690.511718546743,19192.659859810217,18115.064198207812,High,Medium,Very High,Very High,Medium,Very High,Very High,High,Medium,Medium,Medium
466, Mali ,2021,554.530675,554.530675,21904983.0, CFA Franc BCEAO ,849.0,6792621701.0,221538633.0,820292255.0,5662920941.0,17110262160.0,3088325625.0,4081682658.0,3860144025.0,14021936535.0,7697809993.0,3039744046.0,3219210978.0,3953310250.0,17765327623.0,1011303261.0,1968589178.0,18589076620.0,19157055766.0,Low Income,Under-developed,0.29560497240137334,0.40182636032526964,0.6974313327266429,0.21306419461617807,0.1612108699125452,0.7319463233951731,0.3545754516753856,0.20636314360040373,874.5524142155235,186.33580578446467,258.52204226773426,351.4182135179014,Medium,High,Low,Medium,Medium,Medium,Medium,Medium,High,Very High,Low
442, Luxembourg ,2021,0.845494139,0.845494139,639321.0, Euro ,93369.0,166752191.0,840794711.0,4500637941.0,181000000000.0,40785769426.0,14925587795.0,15010106417.0,14169311707.0,25860181631.0,151000000000.0,4146881497.0,5082131031.0,51962957493.0,77576866572.0,8388618766.0,7475769150.0,59692666902.0,85506243834.0,High Income,Developed,2.11680447981541,1.765952908575287,3.882757388390697,0.1755439806961969,0.17455553098527188,0.3024361785930441,0.0019501756073361045,0.6077095094234262,133745.4015025316,23478.20017956551,283112.86505526956,236188.0807919652,High,Low,Very High,Very High,Low,Very High,Very High,High,Low,Low,Very High
266, Gabon ,2021,554.530675,554.530675,2341179.0, CFA Franc BEAC ,7358.0,1145473152.0,,607721115.0,9862033331.0,8870744616.0,2125220575.0,3445796754.0,3445796754.0,6745524041.0,3657687647.0,1410562184.0,8208202368.0,4607139181.0,17706865359.0,2217911570.0,920417973.0,17226269728.0,18520706721.0,Upper Middle Income,Developing,0.5324868796619826,0.19749179672785772,0.7299786763898404,0.18605104037919504,0.11474835204805034,0.36421526147009714,0.06184824203825802,0.24875612202077158,7910.846082678855,1471.8211439620807,4212.421746051882,1562.327206505782,Medium,Medium,High,Medium,Low,High,Low,Low,Low,Medium,Low
268, Georgia ,2021,3.221558333,3.221558333,3757980.0, Lari ,4700.0,1143421615.0,278730194.0,1310175848.0,8055098497.0,17499211389.0,2611278788.0,4102998905.0,3824268711.0,14887932602.0,10960888842.0,1902382684.0,2768992447.0,6305112294.0,16328322094.0,1548252392.0,3252367498.0,17662033115.0,18696419950.0,Upper Middle Income,Developing,0.4308364124544603,0.5862560250204478,1.0170924374749082,0.2194537198015816,0.1396673157205158,0.7962985770438902,0.061157249251881506,0.3372363431534923,4975.124920835129,1091.8096703548183,2143.464972405388,2916.696960068973,Medium,Medium,Medium,High,Medium,High,High,Medium,Very High,Medium,High
616, Poland ,2021,3.861916667,3.861916667,38307726.0, Zloty ,16908.0,15110631595.0,30115875105.0,40852771724.0,393000000000.0,510000000000.0,128000000000.0,146000000000.0,116000000000.0,383000000000.0,371000000000.0,114000000000.0,148000000000.0,217000000000.0,591000000000.0,63242363896.0,107000000000.0,648000000000.0,679000000000.0,High Income,Developed,0.5787923416789397,0.5463917525773195,1.1251840942562592,0.21502209131075112,0.18851251840942562,0.5640648011782032,0.02225424388070692,0.31958762886597936,17724.88400903776,3811.2416278637893,10259.027121578556,9684.730437927848,Very High,Very High,High,Very High,Medium,Very High,High,High,Medium,Medium,Medium
242, Fiji ,2021,2.070633333,2.070633333,924610.0, Fiji Dollar ,4376.0,623887672.0,31300709.0,92521619.0,1173264219.0,4624005429.0,1079468807.0,843997091.0,812696382.0,3544536622.0,2345031311.0,498604247.0,633095532.0,1529533734.0,3659840111.0,308127842.0,472673712.0,4045925538.0,4296235427.0,Lower Middle Income,Developing,0.2730912304354963,0.5458339867183447,0.818925217153841,0.1964503820474641,0.2512592303987814,0.8250331440693648,0.14521729141730297,0.3560172062237408,4646.537920853117,912.8141497496242,1268.9287580709704,2536.238317777225,Low,Low,Medium,High,Medium,Medium,High,Very High,Very High,High,High
642, Romania ,2021,4.160416667,4.160416667,19328560.0, New Leu ,14416.0,12356911367.0,5019617426.0,18610179269.0,116000000000.0,227000000000.0,49543114672.0,73602387581.0,68582770155.0,177000000000.0,132000000000.0,44210764146.0,60319703555.0,93370143215.0,257000000000.0,35404482724.0,36563477216.0,279000000000.0,284000000000.0,High Income,Developed,0.4084507042253521,0.4647887323943662,0.8732394366197183,0.2591633365528169,0.17444758687323944,0.6232394366197183,0.04351025129225352,0.3287681099119718,14693.282893293655,3807.960219540411,6001.481745148112,6829.272330685783,Very High,High,High,High,High,High,High,High,High,Medium,High
246, Finland ,2021,0.845494139,0.845494139,5535992.0, Euro ,54714.0,6825594329.0,850390283.0,19918529562.0,117000000000.0,224000000000.0,72564666244.0,71243545318.0,70393155035.0,152000000000.0,117000000000.0,43637203740.0,53235141357.0,125000000000.0,258000000000.0,25802662605.0,26786702543.0,303000000000.0,297000000000.0,High Income,Developed,0.3939393939393939,0.3939393939393939,0.7878787878787878,0.23987725696296297,0.24432547556902356,0.5117845117845118,0.02298179908754209,0.4208754208754209,53648.921457978984,12869.156118361443,21134.423604658386,21134.423604658386,Very High,Medium,Very High,Medium,High,High,Medium,Very High,Low,Medium,High
634, Qatar ,2021,3.64,3.64,2688235.0, Qatari Rial ,65863.0,536032165.0,,24131484838.0,106000000000.0,65809191023.0,29923483041.0,69233295824.0,69233295824.0,35885707982.0,61326923077.0,15747952861.0,83678979588.0,55479438999.0,189000000000.0,10117575226.0,14697209085.0,177000000000.0,180000000000.0,High Income,Developed,0.5888888888888889,0.34070512820555554,0.9295940170944444,0.38462942124444444,0.16624157245,0.19936504434444444,0.002977956472222222,0.30821910555,66958.43183352645,25754.182883564867,39431.0765241878,22813.081102284585,High,Medium,Very High,High,Very High,Very High,Medium,Medium,Low,Low,Medium
250, France ,2021,0.845494139,0.845494139,66875883.0, Euro ,45535.0,48514824779.0,23320090694.0,148000000000.0,871000000000.0,2280000000000.0,717000000000.0,740000000000.0,717000000000.0,1560000000000.0,929000000000.0,263000000000.0,344000000000.0,1470000000000.0,2620000000000.0,283000000000.0,328000000000.0,3050000000000.0,2960000000000.0,High Income,Developed,0.2942567567567568,0.31385135135135134,0.6081081081081081,0.25,0.24222972972972973,0.527027027027027,0.01639014350641892,0.4966216216216216,44261.09783103724,11065.27445775931,13024.127098254537,13891.405366565403,Very High,Very High,Very High,Medium,High,Medium,Medium,Very High,Medium,Low,Very High
630, Puerto Rico ,2021,1.0,1.0,3256028.0, US Dollar ,22598.0,711000000.0,-911800000.0,980400000.0,73850800000.0,78578000000.0,7539000000.0,12421700000.0,13333500000.0,71039000000.0,58324800000.0,51269000000.0,53247900000.0,38128400000.0,107000000000.0,3091300000.0,10910500000.0,73580800000.0,107000000000.0,High Income,Developed,0.6901943925233645,0.5450915887850467,1.2352859813084112,0.11609065420560748,0.07045794392523365,0.6639158878504673,0.0066448598130841125,0.35634018691588787,32862.12526427906,3814.985620516777,22681.25458380579,17912.868071159093,High,Medium,Very High,Very High,Low,Very High,High,Low,High,Low,High
258, French Polynesia ,2021,100.8802226,100.8802226,304032.0, CFP Franc ,19915.0,179178542.0,,183251150.0,1019164607.0,5864333836.0,1908838149.0,1256984820.0,1256984820.0,3955495688.0,2105702919.0,297419768.0,444094601.0,3118195830.0,5409225972.0,659502083.0,825003766.0,6054675381.0,6054675381.0,High Income,Developed,0.16832687846456817,0.3477813072535391,0.5161081857181072,0.20760565032842346,0.31526680274058444,0.6532960793261725,0.029593418428719556,0.5150062775925394,19914.599058651722,4134.3832886012,3352.162295416272,6925.925294047995,Low,Low,High,Low,Medium,Low,Medium,Very High,High,Medium,Very High
626, Timor-Leste ,2021,1.0,1.0,1320942.0, US Dollar ,1842.0,316079516.0,50480790.0,234683389.0,740004120.0,2061248860.0,956961779.0,734445978.0,683965187.0,1104287081.0,1141694059.0,35170269.0,248990291.0,843173823.0,1994416239.0,57274431.0,294214789.0,2433018215.0,2004164748.0,Lower Middle Income,Developing,0.3692331784293015,0.5696607826972915,0.938893961126593,0.3664598824687041,0.47748658385243686,0.5509961604214386,0.15771134399775402,0.4207108341973491,1517.2238811393688,556.0016851610442,560.2093960219298,864.3029436568752,Low,Medium,Low,High,Very High,High,High,Very High,Medium,High,High
660, Anguilla ,2021,2.7,2.7,15753.0, East Caribbean Dollar ,17312.0,2603704.0,,23837037.0,229889447.0,302818908.0,50327016.0,81471815.0,81471815.0,252491892.0,311110493.0,5885185.0,17222222.0,110629630.0,248248148.0,14933333.0,79022222.0,272722052.0,302714815.0,High Income,Developed,0.7594258212965229,1.0277346121959707,1.7871604334924935,0.26913719105554845,0.1662522397524548,0.8340916251489046,0.008601177976703915,0.36545826143328997,19216.32800101568,5171.828540595442,14593.375674474702,19749.285405954422,Low,Low,High,Very High,High,Very High,Very High,Medium,Very High,Low,High
226, Equatorial Guinea ,2021,554.530675,554.530675,1634466.0, CFA Franc BEAC ,6991.0,322900081.0,6531649.0,433954352.0,6776314042.0,10504287071.0,3098671503.0,477234194.0,470702545.0,7405615568.0,5326980333.0,3208197635.0,6135965336.0,3754881871.0,12376156068.0,761653086.0,966801341.0,11426919250.0,12430854974.0,Upper Middle Income,Developing,0.5451205131242488,0.4285288778721778,0.9736493909964266,0.03839109980754893,0.24927259705636398,0.5957446678840161,0.025975693681196347,0.30206143333291213,7605.453385998852,291.98172002354283,4145.888652318249,3259.1564052112435,Medium,Medium,High,High,Low,Very High,High,Very High,Medium,Medium,Medium
231, Ethiopia ,2021,43.73377832,43.73377832,120283026.0, Ethiopian Birr ,821.0,37298985183.0,4389464464.0,15714098271.0,7537296692.0,80454038198.0,8770457939.0,27817968377.0,23428503913.0,71683580259.0,16540790735.0,4571616269.0,5978396673.0,17202255164.0,95263247126.0,4195414074.0,14874097761.0,98771506966.0,99268512532.0,Low Income,Under-developed,0.07592837345649046,0.16662676122670764,0.24255513468319811,0.28022952764636877,0.08835085482088566,0.7221180053029628,0.37573833063103845,0.17329014735115242,825.2911140762288,231.27093906832707,62.66301191990298,137.51558540770333,High,Very High,Low,Low,High,Low,Low,Low,High,Very High,Low
659, Saint Kitts and Nevis ,2021,2.7,2.7,47606.0, East Caribbean Dollar ,17835.0,12248148.0,,140111111.0,316824066.0,749444098.0,164589233.0,266800463.0,266800463.0,584854865.0,472224183.0,41214815.0,54381481.0,392955556.0,763600000.0,88103704.0,75800000.0,849050390.0,860844444.0,High Income,Developed,0.36803869526978095,0.5485592505026379,0.9165979457724188,0.3099287738447668,0.1911950923853555,0.6793966890027346,0.014228061858757841,0.4564768451941127,18082.68798050666,5604.3453136159305,6655.128891316221,9919.425765659791,Low,Low,High,High,Very High,High,High,High,High,Low,Very High
232, Eritrea ,2021,15.075,15.075,3620312.0, Nakfa ,616.0,397588790.0,,362017492.0,696885418.0,2090794012.0,514099513.0,104669266.0,104669266.0,1576694499.0,636958978.0,138790170.0,358872204.0,638596523.0,2302404170.0,282974026.0,262355136.0,2229672327.0,2255389718.0,Low Income,Under-developed,0.3089866963736863,0.28241637040219936,0.5914030667758857,0.04640850544127558,0.22794265172756276,0.6990785168596747,0.17628385321919784,0.283142428957371,622.9821402133297,28.91167004390782,192.49319340432538,175.9403548644426,Low,Medium,Low,Medium,Low,Medium,Low,Very High,High,Very High,Medium
600, Paraguay ,2021,6774.162735,6774.162735,6703799.0, Guarani ,5842.0,4213161287.0,582912037.0,3136800787.0,14122303042.0,30201092594.0,4913178101.0,9384900465.0,8801988428.0,25287914493.0,13249910065.0,8193706613.0,11344586013.0,11523636803.0,37742896504.0,2733363328.0,4791348285.0,39162334271.0,40458386036.0,Upper Middle Income,Developing,0.34905749896780186,0.32749477582250036,0.6765522747903022,0.23196428193278115,0.12143781753004776,0.6250351773918696,0.10413567370806921,0.28482690319742937,6035.14306380606,1399.9376271573774,2106.6119437650204,1976.4778247378838,High,Medium,Medium,Medium,Medium,High,Medium,Low,High,High,Medium
288, Ghana ,2021,5.8057,5.8057,32833031.0, Cedi ,2348.0,15586248345.0,1348688277.0,5047826688.0,23651778425.0,63315377357.0,7868373663.0,14671931932.0,13323243655.0,55447003694.0,22556303288.0,8461977105.0,17304534082.0,13220019982.0,74261904068.0,8926025863.0,14177249108.0,77088309100.0,79082784426.0,Lower Middle Income,Developing,0.2990761971353151,0.2852239390876098,0.5843001362229249,0.18552624365077766,0.0994954049748041,0.7011260933267129,0.19708775377761886,0.16716685025639616,2408.634902638139,446.8649858126105,720.3653669684045,687.0003347543515,High,Very High,Medium,Medium,Low,Medium,Low,Low,High,Very High,Low
296, Kiribati ,2021,1.33122426,1.33122426,128874.0, Australian Dollar ,3018.0,52562627.0,-122957.0,10834421.0,10754925.0,355081374.0,160317677.0,47765507.0,47888465.0,194763697.0,201765194.0,11361518.0,15487008.0,117711534.0,227136573.0,17593725.0,12947257.0,388976942.0,227454167.0,Lower Middle Income,Developing,0.047283921599906326,0.8870586837830937,0.9343426053830001,0.2100005800289427,0.7048350844238435,0.8562766713348452,0.23109107075624602,0.517517597292469,1764.9344863975666,370.6372658565731,83.45302388379348,1565.600462467216,Low,Low,Medium,High,Medium,Low,Very High,Very High,Very High,Very High,Very High
28, Antigua and Barbuda ,2021,2.7,2.7,93219.0, East Caribbean Dollar ,14735.0,31959259.0,,192696296.0,724038736.0,994338587.0,232476329.0,542133259.0,542133259.0,761862258.0,839310581.0,34992593.0,114048148.0,528811111.0,1250925926.0,120248148.0,263162963.0,1373574656.0,1421200000.0,High Income,Developed,0.5094559076836476,0.5905647206585983,1.100020628342246,0.3814616232761047,0.16357749014916972,0.536069700253307,0.02248751688713763,0.3720877504925415,15245.818985399972,5815.694858344329,7767.07254958753,9003.64283032429,Low,Low,High,Very High,Very High,High,High,Medium,Medium,Medium,High
860, Uzbekistan ,2021,10609.46439,10609.46439,34081449.0, Uzbekistan Sum ,2023.0,17297620939.0,3759693041.0,4317095766.0,16436730553.0,52499017774.0,11561816373.0,28097991500.0,24338298459.0,40937201401.0,27794836661.0,13830487044.0,17871477269.0,17662554131.0,66237697674.0,4604505732.0,4484443837.0,68960168219.0,69238903166.0,Lower Middle Income,Developing,0.23739155014620902,0.4014338094634744,0.6388253596096835,0.4058121982758042,0.16698439525075362,0.5912456657907076,0.24982517267104912,0.25509581064064657,2031.5715791896055,824.4365285055809,482.2779264168023,815.54151823181,High,Very High,Low,Medium,Very High,Medium,Medium,Medium,Medium,Very High,Low
262, Djibouti ,2021,177.721,177.721,1105557.0, Djibouti Franc ,3254.0,43575428.0,573690929.0,131810419.0,5608227373.0,3052318280.0,783890421.0,1576878314.0,1003187385.0,2268427859.0,6556945938.0,94739561.0,245028782.0,949737803.0,3183665707.0,794274257.0,1019239017.0,3596939893.0,3701419641.0,Lower Middle Income,Developing,1.5151557826296194,1.7714678620521211,3.2866236446817405,0.4260198699259023,0.21178101837386343,0.612853466781504,0.011772625702128541,0.2565874434986822,3348.01339143979,1426.3202295313583,5072.761850361401,5930.898124655717,Low,Low,Medium,Very High,Very High,Very High,Very High,High,Medium,Low,Low
624, Guinea-Bissau ,2021,554.530675,554.530675,2060721.0, CFA Franc BCEAO ,760.0,500610377.0,1222972.0,29213939.0,280981048.0,1657678064.0,236463327.0,115935927.0,114712956.0,1421214737.0,512717373.0,166848728.0,184741082.0,311052593.0,1543583637.0,104133078.0,413832568.0,1565368514.0,1563164283.0,Low Income,Under-developed,0.17975145098680584,0.32799967257184315,0.507751123558649,0.07416746164228984,0.15127221724013765,0.909190897243652,0.3202544879283171,0.19898906108770142,758.5521198648435,56.25988525375342,136.35084419482308,248.80484694434617,Low,Medium,Low,Low,Low,Low,Medium,Medium,Very High,Very High,Low
620, Portugal ,2021,0.845494139,0.845494139,10290103.0, Euro ,24353.0,5556320007.0,624965894.0,10572030708.0,106000000000.0,209000000000.0,47727932275.0,52353825963.0,51728860069.0,161000000000.0,113000000000.0,31522711719.0,39296756147.0,108000000000.0,220000000000.0,17304256513.0,38549494362.0,251000000000.0,254000000000.0,High Income,Developed,0.41732283464566927,0.4448818897637795,0.8622047244094488,0.2061174250511811,0.18790524517716536,0.6338582677165354,0.021875275618110236,0.4251968503937008,24683.91229903141,5087.784443265534,10301.160250776888,10981.425550356493,Very High,High,Very High,High,Medium,High,High,High,High,Medium,High
646, Rwanda ,2021,988.6248066,988.6248066,13461888.0, Rwanda Franc ,795.0,2663295502.0,-38437231.0,766721607.0,2110001677.0,9901632991.0,1877355279.0,2910102984.0,2948540215.0,8024277711.0,3850803636.0,1016563608.0,1485902428.0,3226704387.0,10201038790.0,831457996.0,1226956872.0,10699102688.0,11069922510.0,Low Income,Under-developed,0.19060672512331797,0.34786184207896503,0.538468567202283,0.2628837718937203,0.1695906432320636,0.724872076001551,0.24058845033414783,0.2914839181652049,822.315748727073,216.1734657129817,156.73891188219662,286.052271122743,Medium,High,Low,Low,High,Low,Medium,High,High,Very High,Medium
