country,services_share
 Tunisia ,0.38429139830575326
 Saint Lucia ,0.3805445060992859
 Estonia ,0.3787289855185824
 Latvia ,0.37870851475129025
 Norway ,0.3775933609958506
 Colombia ,0.37579617834394907
 Hungary ,0.37452899934065936
 Croatia ,0.3744394439916365
 Samoa ,0.3732930754728406
 Antigua and Barbuda ,0.3720877504925415
 Belize ,0.3720658495876541
 Slovakia ,0.3697418869145299
 Anguilla ,0.36545826143328997
 Slovenia ,0.36343903781958853
 Czechia ,0.3617021276595745
 Chile ,0.35962145110410093
 San Marino ,0.35897317702151876
 Puerto Rico ,0.35634018691588787
 Fiji ,0.3560172062237408
 Cabo Verde ,0.353209290593166
 Bulgaria ,0.35249974283555047
 Oman ,0.3502920569170446
 Philippines ,0.350253807106599
 Maldives ,0.3490489266653555
 Tonga ,0.34827958901651174
 Sri Lanka ,0.34417320774782695
 China ,0.33728813559322035
 Georgia ,0.3372363431534923
 Honduras ,0.33716660162450557
 Ecuador ,0.33712206603773587
 Morocco ,0.3353179459300699
 Panama ,0.3344394979048092
 Argentina ,0.3326488706365503
 Armenia ,0.3322732149746027
 Romania ,0.3287681099119718
 Jamaica ,0.3283658850998085
 Eswatini ,0.3277735144005442
 Guatemala ,0.3275266430162045
 India ,0.325
 State of Palestine ,0.3227785853366451
 Sudan ,0.32273226822932677
 Turks and Caicos Islands ,0.32162552250906024
 North Macedonia ,0.3207881374674868
 Saudi Arabia ,0.32014388489208634
 Bolivia (Plurinational State of) ,0.3196305621430939
 Poland ,0.31958762886597936
 Montenegro ,0.31849091944536567
 D.P.R. of Korea ,0.31799999997265743
 Russian Federation ,0.31797752808988766
 Kenya ,0.3173573780909091
 Vanuatu ,0.3139463118854463
 Lithuania ,0.3108397481704149
 Nepal ,0.31058489632569886
 Bosnia and Herzegovina ,0.3104724176032171
 Dominica ,0.31023227276123
 Qatar ,0.30821910555
 Sao Tome and Principe ,0.30782639397111267
 Burundi ,0.3055447970748933
 Equatorial Guinea ,0.30206143333291213
 Ireland ,0.30158730158730157
 United Arab Emirates ,0.3012345679012346
 Togo ,0.2990083814674578
 Turkmenistan ,0.2968742307673007
 Thailand ,0.29446640316205536
 Serbia ,0.2929160451581965
 Iran (Islamic Republic of) ,0.292436974789916
 Dominican Republic ,0.2917935502885532
 Rwanda ,0.2914839181652049
 Côte d'Ivoire ,0.29005243582415474
 Burkina Faso ,0.2882587981312041
 Senegal ,0.2849384230249873
 Madagascar ,0.2848413089756793
 Paraguay ,0.28482690319742937
 Republic of Moldova ,0.28362283520648224
 Eritrea ,0.283142428957371
 Peru ,0.28179485257847536
 Albania ,0.2815196859196967
 Mexico ,0.2811023622047244
 Egypt ,0.2793427230046948
 Bangladesh ,0.27710843373493976
 Papua New Guinea ,0.2742629463285827
 Nicaragua ,0.2739533360327116
 Malawi ,0.273146129171996
 Ukraine ,0.272546301555
 Brunei Darussalam ,0.2706253298023053
 Iraq ,0.26896632249509805
 Uganda ,0.26605260585132345
 South Sudan ,0.26578716418005693
 Trinidad and Tobago ,0.2646707028134296
 Belarus ,0.26271290208549736
 Afghanistan ,0.26199102389522705
 Kazakhstan ,0.2618999558341969
 Djibouti ,0.2565874434986822
 Türkiye ,0.25518925518925517
 Uzbekistan ,0.25509581064064657
 Solomon Islands ,0.2525218405273127
 Comoros ,0.2521923066515694
 Kyrgyzstan ,0.24894362609608067
 Gabon ,0.24875612202077158
 Congo ,0.24690603576744546
 Kosovo ,0.2400572715162723
 Mongolia ,0.2400447680819603
 Zimbabwe ,0.24003567009116292
 Malaysia ,0.2363408709597855
 Sierra Leone ,0.23606595853489593
 Haiti ,0.2359135035335044
 Pakistan ,0.23470487626239067
 Mauritania ,0.23439786197483212
 Yemen ,0.2335569363251796
 Lao People's DR ,0.2294547577391779
 Cameroon ,0.22628014555137457
 Central African Republic ,0.2242383614052099
 Viet Nam ,0.22070713930601094
 Algeria ,0.2200182993435583
 Benin ,0.21947691600956498
 Suriname ,0.21900652836127146
 Guyana ,0.21892366480422026
 Zanzibar ,0.21434249624957238
 Mozambique ,0.20986866871844853
 Bhutan ,0.20872906886992826
 Mali ,0.20636314360040373
 Zambia ,0.19942844841195378
 Guinea-Bissau ,0.19898906108770142
 Nauru ,0.18960060883036653
 Indonesia ,0.18739495798319328
 Niger ,0.18488536267774636
 U.R. of Tanzania: Mainland ,0.1816706529267082
 Angola ,0.17793009236093643
 Nigeria ,0.1769919893549884
 Tajikistan ,0.17402161743306635
 Ethiopia ,0.17329014735115242
 Syrian Arab Republic ,0.1731267988696723
 Azerbaijan ,0.1720105063918188
 Ghana ,0.16716685025639616
 Guinea ,0.15374650366991197
 Cambodia ,0.15366575124784398
 Chad ,0.15046778050405663
 Venezuela (Bolivarian Republic of) ,0.14640004839285714
 Gambia ,0.1416750557092405
 D.R. of the Congo ,0.12859859719517164
 Somalia ,0.10944001639466544
 Myanmar ,0.06955962169693525
 Liberia ,0.06599603825360649
